Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
4349.7600	15370.0000	8134.0000	8820.0000	10649.0000	42973.0000	153.0000	43.0000	26.0000	138.0000	360.0000
4360.1500	14781.0000	7898.0000	8789.0000	10716.0000	42184.0000	139.0000	45.0000	41.0000	162.0000	387.0000
4370.5400	14841.0000	7958.0000	9018.0000	10783.0000	42600.0000	155.0000	26.0000	32.0000	150.0000	363.0000
4380.9300	14973.0000	7987.0000	8992.0000	10667.0000	42619.0000	143.0000	41.0000	26.0000	145.0000	355.0000
4391.3200	15307.0000	8129.0000	8986.0000	11053.0000	43475.0000	146.0000	31.0000	35.0000	141.0000	353.0000
4401.7100	15972.0000	8223.0000	9299.0000	11358.0000	44852.0000	143.0000	51.0000	27.0000	174.0000	395.0000
4412.1000	16528.0000	8785.0000	9409.0000	11426.0000	46148.0000	147.0000	60.0000	26.0000	158.0000	391.0000
4422.4900	16158.0000	8560.0000	9635.0000	11594.0000	45947.0000	153.0000	41.0000	28.0000	166.0000	388.0000
4432.8800	15599.0000	8408.0000	9365.0000	11234.0000	44606.0000	156.0000	50.0000	27.0000	166.0000	399.0000
4443.2600	15716.0000	8265.0000	9334.0000	11048.0000	44363.0000	154.0000	50.0000	28.0000	149.0000	381.0000
