Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
4537.3200	16289.0000	8525.0000	11285.0000	10392.0000	46491.0000	242.0000	0.0000	40.0000	136.0000	418.0000
4547.7000	15986.0000	8358.0000	11136.0000	10416.0000	45896.0000	245.0000	1.0000	40.0000	127.0000	413.0000
4558.0900	15891.0000	8463.0000	11382.0000	10229.0000	45965.0000	259.0000	0.0000	41.0000	140.0000	440.0000
4568.4800	15954.0000	8402.0000	11104.0000	10516.0000	45976.0000	231.0000	0.0000	41.0000	136.0000	408.0000
4578.8600	15872.0000	8597.0000	11204.0000	10511.0000	46184.0000	229.0000	5.0000	33.0000	139.0000	406.0000
4589.2510	16069.0000	8529.0000	11407.0000	10428.0000	46433.0000	282.0000	1.0000	26.0000	136.0000	445.0000
4599.6240	16253.0000	8733.0000	11319.0000	10477.0000	46782.0000	238.0000	2.0000	31.0000	152.0000	423.0000
4610.0100	16117.0000	8486.0000	11441.0000	10435.0000	46479.0000	237.0000	2.0000	36.0000	140.0000	415.0000
4620.3900	16133.0000	8571.0000	11394.0000	10575.0000	46673.0000	272.0000	7.0000	24.0000	132.0000	435.0000
4630.7800	15763.0000	8499.0000	11126.0000	10312.0000	45700.0000	231.0000	0.0000	24.0000	151.0000	406.0000
