Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
4904.7700	22402.0000	7584.0000	8941.0000	10790.0000	49717.0000	29.0000	151.0000	124.0000	25.0000	329.0000
4915.1600	22006.0000	7474.0000	8975.0000	10752.0000	49207.0000	24.0000	183.0000	116.0000	28.0000	351.0000
4925.5500	21572.0000	7412.0000	9030.0000	10696.0000	48710.0000	18.0000	166.0000	105.0000	18.0000	307.0000
4935.9300	21674.0000	7449.0000	9069.0000	10830.0000	49022.0000	25.0000	159.0000	123.0000	21.0000	328.0000
4946.3200	22034.0000	7381.0000	8788.0000	10979.0000	49182.0000	23.0000	171.0000	106.0000	24.0000	324.0000
4956.7100	21919.0000	7470.0000	9059.0000	10650.0000	49098.0000	18.0000	176.0000	105.0000	23.0000	322.0000
4967.0900	21938.0000	7534.0000	9270.0000	10983.0000	49725.0000	20.0000	156.0000	151.0000	30.0000	357.0000
4977.4800	22249.0000	7303.0000	8820.0000	10812.0000	49184.0000	25.0000	151.0000	102.0000	16.0000	294.0000
4987.8700	22360.0000	7458.0000	9026.0000	10911.0000	49755.0000	24.0000	162.0000	114.0000	25.0000	325.0000
4998.2500	21593.0000	7320.0000	8914.0000	10820.0000	48647.0000	33.0000	191.0000	117.0000	28.0000	369.0000
