Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
4733.6100	21849.0000	7464.0000	10956.0000	10237.0000	50506.0000	314.0000	63.0000	30.0000	92.0000	499.0000
4744.0000	22156.0000	7422.0000	11082.0000	10264.0000	50924.0000	274.0000	50.0000	29.0000	90.0000	443.0000
4754.3900	22000.0000	7516.0000	11278.0000	10346.0000	51140.0000	270.0000	58.0000	37.0000	80.0000	445.0000
4764.7700	22894.0000	7614.0000	10897.0000	10513.0000	51918.0000	301.0000	52.0000	28.0000	72.0000	453.0000
4775.1600	22999.0000	7787.0000	11341.0000	10657.0000	52784.0000	261.0000	68.0000	23.0000	104.0000	456.0000
4785.5500	22974.0000	7735.0000	11306.0000	10517.0000	52532.0000	314.0000	67.0000	32.0000	86.0000	499.0000
4795.9400	22836.0000	7994.0000	11261.0000	10445.0000	52536.0000	248.0000	61.0000	32.0000	79.0000	420.0000
4806.3300	22754.0000	7662.0000	11523.0000	10664.0000	52603.0000	299.0000	56.0000	36.0000	83.0000	474.0000
4816.7200	22795.0000	7501.0000	11263.0000	10471.0000	52030.0000	299.0000	61.0000	25.0000	78.0000	463.0000
4827.1100	21903.0000	7285.0000	11178.0000	10395.0000	50761.0000	280.0000	60.0000	30.0000	96.0000	466.0000
