Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
5097.6100	22359.0000	5746.0000	17055.0000	5276.0000	50436.0000	289.0000	13.0000	40.0000	55.0000	397.0000
5107.9900	22673.0000	5575.0000	16914.0000	5458.0000	50620.0000	291.0000	13.0000	32.0000	67.0000	403.0000
5118.3800	22488.0000	5671.0000	17148.0000	5389.0000	50696.0000	273.0000	12.0000	42.0000	89.0000	416.0000
5128.7700	21684.0000	5455.0000	17045.0000	5259.0000	49443.0000	328.0000	13.0000	42.0000	68.0000	451.0000
5139.1600	22204.0000	5399.0000	17121.0000	5286.0000	50010.0000	341.0000	18.0000	39.0000	79.0000	477.0000
5149.5500	21831.0000	5509.0000	16749.0000	5253.0000	49342.0000	333.0000	15.0000	54.0000	81.0000	483.0000
5159.9200	22116.0000	5617.0000	17036.0000	5411.0000	50180.0000	313.0000	18.0000	26.0000	70.0000	427.0000
5170.3000	22218.0000	5556.0000	17191.0000	5215.0000	50180.0000	291.0000	16.0000	38.0000	73.0000	418.0000
5180.6800	22236.0000	5605.0000	17136.0000	5481.0000	50458.0000	317.0000	15.0000	35.0000	73.0000	440.0000
5191.0700	22284.0000	5640.0000	17560.0000	5360.0000	50844.0000	334.0000	13.0000	42.0000	69.0000	458.0000
