Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
5262.4210	21885.0000	5514.0000	11676.0000	11389.0000	50464.0000	292.0000	18.0000	15.0000	87.0000	412.0000
5272.8100	23814.0000	5845.0000	12476.0000	12455.0000	54590.0000	292.0000	13.0000	15.0000	109.0000	429.0000
5283.2000	25766.0000	6277.0000	13488.0000	13591.0000	59122.0000	281.0000	19.0000	13.0000	104.0000	417.0000
5293.5900	26018.0000	6749.0000	13911.0000	13949.0000	60627.0000	290.0000	12.0000	21.0000	126.0000	449.0000
5303.9700	26161.0000	6552.0000	13920.0000	13949.0000	60582.0000	305.0000	22.0000	23.0000	115.0000	465.0000
5314.3500	26061.0000	6437.0000	13996.0000	13596.0000	60090.0000	297.0000	13.0000	16.0000	93.0000	419.0000
5324.7300	25450.0000	6355.0000	13481.0000	13352.0000	58638.0000	321.0000	15.0000	15.0000	106.0000	457.0000
5335.1200	25199.0000	6185.0000	13286.0000	13097.0000	57767.0000	305.0000	18.0000	17.0000	90.0000	430.0000
5345.5100	24461.0000	6105.0000	13128.0000	12637.0000	56331.0000	304.0000	24.0000	15.0000	88.0000	431.0000
5355.9000	23914.0000	5859.0000	12813.0000	12510.0000	55096.0000	266.0000	21.0000	8.0000	103.0000	398.0000
