Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
5598.8000	15821.0000	13900.0000	21023.0000	6455.0000	57199.0000	79.0000	75.0000	219.0000	17.0000	390.0000
5609.1800	16068.0000	14187.0000	21513.0000	6585.0000	58353.0000	76.0000	96.0000	262.0000	17.0000	451.0000
5619.5700	16020.0000	14302.0000	21006.0000	6707.0000	58035.0000	84.0000	91.0000	249.0000	21.0000	445.0000
5629.9500	15692.0000	13945.0000	20903.0000	6351.0000	56891.0000	73.0000	75.0000	256.0000	13.0000	417.0000
5640.3400	15691.0000	13581.0000	20902.0000	6316.0000	56490.0000	86.0000	84.0000	232.0000	18.0000	420.0000
5650.7300	15346.0000	13455.0000	19981.0000	6168.0000	54950.0000	81.0000	85.0000	234.0000	13.0000	413.0000
5661.1200	15645.0000	13771.0000	20508.0000	6338.0000	56262.0000	77.0000	93.0000	283.0000	14.0000	467.0000
5671.5100	15792.0000	14327.0000	21363.0000	6421.0000	57903.0000	63.0000	89.0000	237.0000	12.0000	401.0000
5681.9000	15898.0000	14717.0000	21695.0000	6391.0000	58701.0000	84.0000	81.0000	274.0000	17.0000	456.0000
5692.2800	16893.0000	14637.0000	21866.0000	6744.0000	60140.0000	77.0000	107.0000	241.0000	24.0000	449.0000
