Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
5437.9300	14384.0000	12428.0000	12439.0000	12677.0000	51928.0000	206.0000	9.0000	48.0000	122.0000	385.0000
5448.3000	14204.0000	12436.0000	12608.0000	12487.0000	51735.0000	213.0000	10.0000	68.0000	135.0000	426.0000
5458.6700	14315.0000	12654.0000	12523.0000	12488.0000	51980.0000	237.0000	12.0000	69.0000	120.0000	438.0000
5469.0600	14262.0000	12300.0000	12631.0000	12508.0000	51701.0000	227.0000	21.0000	65.0000	118.0000	431.0000
5479.4500	14145.0000	12423.0000	12530.0000	12373.0000	51471.0000	241.0000	9.0000	61.0000	111.0000	422.0000
5489.8400	14541.0000	12742.0000	12781.0000	12757.0000	52821.0000	250.0000	13.0000	66.0000	125.0000	454.0000
5500.2300	15057.0000	13267.0000	13392.0000	13388.0000	55104.0000	206.0000	13.0000	65.0000	127.0000	411.0000
5510.6200	15035.0000	13205.0000	13726.0000	13366.0000	55332.0000	239.0000	15.0000	63.0000	126.0000	443.0000
5521.0100	15392.0000	13241.0000	13501.0000	13319.0000	55453.0000	251.0000	8.0000	61.0000	127.0000	447.0000
5531.4000	15295.0000	13233.0000	13800.0000	13458.0000	55786.0000	230.0000	8.0000	64.0000	128.0000	430.0000
