Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
919.7800	13808.0000	8829.0000	11706.0000	11445.0000	45788.0000	145.0000	16.0000	96.0000	163.0000	420.0000
930.1700	13893.0000	8960.0000	12045.0000	11804.0000	46702.0000	139.0000	12.0000	93.0000	157.0000	401.0000
940.5500	14321.0000	9216.0000	12147.0000	11944.0000	47628.0000	144.0000	22.0000	105.0000	127.0000	398.0000
950.9400	14599.0000	9266.0000	12490.0000	12380.0000	48735.0000	149.0000	10.0000	90.0000	141.0000	390.0000
961.3300	14836.0000	9501.0000	12696.0000	12502.0000	49535.0000	171.0000	17.0000	92.0000	177.0000	457.0000
971.7100	14633.0000	9666.0000	12842.0000	12581.0000	49722.0000	146.0000	21.0000	99.0000	184.0000	450.0000
982.1000	14653.0000	9633.0000	12864.0000	12515.0000	49665.0000	152.0000	13.0000	88.0000	161.0000	414.0000
992.4900	14908.0000	9694.0000	12628.0000	12634.0000	49864.0000	171.0000	20.0000	96.0000	158.0000	445.0000
1002.8600	14764.0000	9661.0000	12738.0000	12491.0000	49654.0000	154.0000	16.0000	94.0000	157.0000	421.0000
1013.2500	15111.0000	9609.0000	12907.0000	12413.0000	50040.0000	152.0000	15.0000	91.0000	127.0000	385.0000
