Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
1063.5600	14822.0000	9641.0000	13052.0000	12365.0000	49880.0000	138.0000	23.0000	115.0000	119.0000	395.0000
1073.9500	14849.0000	9672.0000	13242.0000	12461.0000	50224.0000	140.0000	21.0000	106.0000	134.0000	401.0000
1084.3400	15083.0000	9941.0000	13469.0000	12574.0000	51067.0000	127.0000	21.0000	139.0000	110.0000	397.0000
1094.7300	15485.0000	10019.0000	13435.0000	12607.0000	51546.0000	153.0000	24.0000	131.0000	139.0000	447.0000
1105.1200	15059.0000	9912.0000	13574.0000	12481.0000	51026.0000	123.0000	10.0000	112.0000	132.0000	377.0000
1115.5100	15032.0000	9809.0000	13271.0000	12572.0000	50684.0000	121.0000	16.0000	130.0000	133.0000	400.0000
1125.8900	15178.0000	9909.0000	13235.0000	12551.0000	50873.0000	123.0000	18.0000	113.0000	138.0000	392.0000
1136.2800	14936.0000	9872.0000	13293.0000	12270.0000	50371.0000	128.0000	21.0000	135.0000	153.0000	437.0000
1146.6700	14887.0000	9923.0000	13383.0000	12392.0000	50585.0000	141.0000	22.0000	125.0000	114.0000	402.0000
1157.0500	14974.0000	9865.0000	13104.0000	12666.0000	50609.0000	134.0000	22.0000	118.0000	135.0000	409.0000
