Time	Single Count 1	Single Count 2	Single Count 3	Single Count 4	Sum	Coincidence Count 1	Coincidence Count 2	Coincidence Count 3	Coincidence Count 4	Coincidence Sum
422.0200	16343.0000	10590.0000	12768.0000	14300.0000	54001.0000	233.0000	4.0000	29.0000	226.0000	492.0000
432.4100	16400.0000	10668.0000	12639.0000	14511.0000	54218.0000	230.0000	4.0000	27.0000	235.0000	496.0000
442.8000	16508.0000	11054.0000	12931.0000	14713.0000	55206.0000	219.0000	9.0000	35.0000	251.0000	514.0000
453.1800	14608.0000	9316.0000	11091.0000	12641.0000	47656.0000	185.0000	4.0000	26.0000	205.0000	420.0000
463.5700	12966.0000	8170.0000	9765.0000	11126.0000	42027.0000	166.0000	1.0000	29.0000	178.0000	374.0000
473.9600	16723.0000	11056.0000	13251.0000	15023.0000	56053.0000	223.0000	3.0000	34.0000	245.0000	505.0000
484.3500	16985.0000	11454.0000	13552.0000	15262.0000	57253.0000	245.0000	3.0000	37.0000	276.0000	561.0000
494.7300	16826.0000	11005.0000	13078.0000	14858.0000	55767.0000	216.0000	4.0000	34.0000	242.0000	496.0000
505.1200	16837.0000	11114.0000	13212.0000	14767.0000	55930.0000	249.0000	5.0000	30.0000	243.0000	527.0000
515.5100	17226.0000	11283.0000	13758.0000	15487.0000	57754.0000	248.0000	2.0000	25.0000	271.0000	546.0000
525.9000	17053.0000	11103.0000	13467.0000	14915.0000	56538.0000	255.0000	8.0000	26.0000	233.0000	522.0000
