№,Базис Алисы, |ψₐ⟩, Бит Алисы, Базис Боба, |ψᵦ⟩, Бит Боба
1,"{ |H⟩, |V⟩ }",|V⟩,«1»,"{ |H⟩, |V⟩ }",|V⟩,«1»
2,"{ |H⟩, |V⟩ }",|V⟩,«1»,"{ |D⟩, |A⟩ }",|A⟩,«1»
3,"{ |D⟩, |A⟩ }",|D⟩,«0»,"{ |D⟩, |A⟩ }",|D⟩,«0»
4,"{ |D⟩, |A⟩ }",|A⟩,«1»,"{ |D⟩, |A⟩ }",|A⟩,«1»
5,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |D⟩, |A⟩ }",|A⟩,«1»
6,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |H⟩, |V⟩ }",|H⟩,«0»
7,"{ |D⟩, |A⟩ }",|A⟩,«1»,"{ |H⟩, |V⟩ }",|V⟩,«1»
8,"{ |D⟩, |A⟩ }",|D⟩,«0»,"{ |H⟩, |V⟩ }",|V⟩,«1»
9,"{ |D⟩, |A⟩ }",|D⟩,«0»,"{ |D⟩, |A⟩ }",|D⟩,«0»
10,"{ |H⟩, |V⟩ }",|V⟩,«1»,"{ |H⟩, |V⟩ }",|V⟩,«1»
11,"{ |H⟩, |V⟩ }",|V⟩,«1»,"{ |D⟩, |A⟩ }",|D⟩,«0»
12,"{ |H⟩, |V⟩ }",|V⟩,«1»,"{ |H⟩, |V⟩ }",|V⟩,«1»
13,"{ |D⟩, |A⟩ }",|D⟩,«0»,"{ |D⟩, |A⟩ }",|D⟩,«0»
14,"{ |D⟩, |A⟩ }",|A⟩,«1»,"{ |D⟩, |A⟩ }",|A⟩,«1»
15,"{ |D⟩, |A⟩ }",|D⟩,«0»,"{ |H⟩, |V⟩ }",|V⟩,«1»
16,"{ |D⟩, |A⟩ }",|D⟩,«0»,"{ |D⟩, |A⟩ }",|A⟩,«1»
17,"{ |D⟩, |A⟩ }",|D⟩,«0»,"{ |H⟩, |V⟩ }",|V⟩,«1»
18,"{ |H⟩, |V⟩ }",|V⟩,«1»,"{ |H⟩, |V⟩ }",|V⟩,«1»
19,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |D⟩, |A⟩ }",|A⟩,«1»
20,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |D⟩, |A⟩ }",|A⟩,«1»
21,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |D⟩, |A⟩ }",|D⟩,«0»
22,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |D⟩, |A⟩ }",|D⟩,«0»
23,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |H⟩, |V⟩ }",|H⟩,«0»
24,"{ |D⟩, |A⟩ }",|D⟩,«0»,"{ |D⟩, |A⟩ }",|D⟩,«0»
25,"{ |D⟩, |A⟩ }",|A⟩,«1»,"{ |H⟩, |V⟩ }",|V⟩,«1»
26,"{ |H⟩, |V⟩ }",|V⟩,«1»,"{ |H⟩, |V⟩ }",|V⟩,«1»
27,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |D⟩, |A⟩ }",|A⟩,«1»
28,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |D⟩, |A⟩ }",|A⟩,«1»
29,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |D⟩, |A⟩ }",|D⟩,«0»
30,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |D⟩, |A⟩ }",|A⟩,«1»
31,"{ |H⟩, |V⟩ }",|V⟩,«1»,"{ |H⟩, |V⟩ }",|H⟩,«0»
32,"{ |H⟩, |V⟩ }",|V⟩,«1»,"{ |D⟩, |A⟩ }",|A⟩,«1»
33,"{ |D⟩, |A⟩ }",|A⟩,«1»,"{ |H⟩, |V⟩ }",|H⟩,«0»
34,"{ |H⟩, |V⟩ }",|V⟩,«1»,"{ |H⟩, |V⟩ }",|V⟩,«1»
35,"{ |H⟩, |V⟩ }",|V⟩,«1»,"{ |H⟩, |V⟩ }",|V⟩,«1»
36,"{ |D⟩, |A⟩ }",|A⟩,«1»,"{ |D⟩, |A⟩ }",|A⟩,«1»
37,"{ |H⟩, |V⟩ }",|V⟩,«1»,"{ |D⟩, |A⟩ }",|D⟩,«0»
38,"{ |D⟩, |A⟩ }",|A⟩,«1»,"{ |D⟩, |A⟩ }",|D⟩,«0»
39,"{ |D⟩, |A⟩ }",|D⟩,«0»,"{ |D⟩, |A⟩ }",|A⟩,«1»
40,"{ |D⟩, |A⟩ }",|D⟩,«0»,"{ |D⟩, |A⟩ }",|A⟩,«1»
41,"{ |H⟩, |V⟩ }",|V⟩,«1»,"{ |H⟩, |V⟩ }",|H⟩,«0»
42,"{ |H⟩, |V⟩ }",|V⟩,«1»,"{ |D⟩, |A⟩ }",|D⟩,«0»
43,"{ |D⟩, |A⟩ }",|A⟩,«1»,"{ |H⟩, |V⟩ }",|H⟩,«0»
44,"{ |D⟩, |A⟩ }",|A⟩,«1»,"{ |D⟩, |A⟩ }",|A⟩,«1»
45,"{ |D⟩, |A⟩ }",|A⟩,«1»,"{ |D⟩, |A⟩ }",|A⟩,«1»
46,"{ |H⟩, |V⟩ }",|V⟩,«1»,"{ |D⟩, |A⟩ }",|A⟩,«1»
47,"{ |H⟩, |V⟩ }",|V⟩,«1»,"{ |D⟩, |A⟩ }",|D⟩,«0»
48,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |D⟩, |A⟩ }",|D⟩,«0»
49,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |D⟩, |A⟩ }",|A⟩,«1»
50,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |H⟩, |V⟩ }",|H⟩,«0»
51,"{ |D⟩, |A⟩ }",|D⟩,«0»,"{ |D⟩, |A⟩ }",|D⟩,«0»
52,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |D⟩, |A⟩ }",|A⟩,«1»
53,"{ |D⟩, |A⟩ }",|D⟩,«0»,"{ |D⟩, |A⟩ }",|D⟩,«0»
54,"{ |D⟩, |A⟩ }",|D⟩,«0»,"{ |D⟩, |A⟩ }",|A⟩,«1»
55,"{ |D⟩, |A⟩ }",|D⟩,«0»,"{ |D⟩, |A⟩ }",|D⟩,«0»
56,"{ |D⟩, |A⟩ }",|D⟩,«0»,"{ |D⟩, |A⟩ }",|A⟩,«1»
57,"{ |D⟩, |A⟩ }",|D⟩,«0»,"{ |D⟩, |A⟩ }",|D⟩,«0»
58,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |H⟩, |V⟩ }",|H⟩,«0»
59,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |D⟩, |A⟩ }",|A⟩,«1»
60,"{ |H⟩, |V⟩ }",|H⟩,«0»,"{ |D⟩, |A⟩ }",|D⟩,«0»
